,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
2014-05-01 00:00:00,62.6,50.0,63.0,29.95,-9999.0,SSE,8.9,-,,,Clear,150.0,2014-04-30 16:00:00
2014-05-01 00:30:00,62.6,51.8,68.0,29.92,-9999.0,SSE,8.9,-,,,Clear,150.0,2014-04-30 16:30:00
2014-05-01 01:00:00,60.8,51.8,72.0,29.92,-9999.0,SE,6.7,-,,,Clear,140.0,2014-04-30 17:00:00
2014-05-01 01:30:00,60.8,51.8,72.0,29.92,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-04-30 17:30:00
2014-05-01 02:00:00,60.8,51.8,72.0,29.92,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-04-30 18:00:00
2014-05-01 02:30:00,60.8,53.6,77.0,29.92,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-04-30 18:30:00
2014-05-01 03:00:00,60.8,53.6,77.0,29.92,4.3,SSE,6.7,-,,,Unknown,150.0,2014-04-30 19:00:00
2014-05-01 03:30:00,60.8,53.6,77.0,29.92,4.3,SSE,6.7,-,,,Unknown,150.0,2014-04-30 19:30:00
2014-05-01 04:00:00,60.8,53.6,77.0,29.92,3.7,SSE,6.7,-,,,Unknown,150.0,2014-04-30 20:00:00
2014-05-01 04:30:00,60.8,55.4,82.0,29.92,3.7,SSE,6.7,-,,,Unknown,150.0,2014-04-30 20:30:00
2014-05-01 05:00:00,59.0,55.4,88.0,29.92,3.7,SSE,4.5,-,,,Unknown,150.0,2014-04-30 21:00:00
2014-05-01 05:30:00,59.0,55.4,88.0,29.92,2.5,SSE,4.5,-,,,Mist,160.0,2014-04-30 21:30:00
2014-05-01 06:00:00,60.8,55.4,82.0,29.95,2.5,SSE,4.5,-,,,Mist,160.0,2014-04-30 22:00:00
2014-05-01 06:30:00,60.8,57.2,88.0,29.95,2.5,SSE,6.7,-,,,Mist,150.0,2014-04-30 22:30:00
2014-05-01 07:00:00,62.6,57.2,82.0,29.95,2.5,SSE,6.7,-,,,Mist,150.0,2014-04-30 23:00:00
2014-05-01 07:30:00,64.4,57.2,77.0,29.95,3.1,SSE,6.7,-,,,Mist,160.0,2014-04-30 23:30:00
2014-05-01 08:00:00,68.0,57.2,68.0,29.98,3.1,South,8.9,-,,,Mist,180.0,2014-05-01 00:00:00
2014-05-01 08:30:00,69.8,57.2,64.0,29.98,3.1,South,8.9,-,,,Haze,190.0,2014-05-01 00:30:00
2014-05-01 09:00:00,71.6,57.2,60.0,29.98,3.7,South,8.9,-,,,Unknown,180.0,2014-05-01 01:00:00
2014-05-01 09:30:00,73.4,57.2,57.0,29.98,3.7,South,6.7,-,,,Unknown,180.0,2014-05-01 01:30:00
2014-05-01 10:00:00,77.0,59.0,54.0,29.98,3.7,South,6.7,-,,,Unknown,190.0,2014-05-01 02:00:00
2014-05-01 10:30:00,78.8,57.2,47.0,29.98,3.7,SSW,6.7,-,,,Unknown,210.0,2014-05-01 02:30:00
2014-05-01 11:00:00,78.8,55.4,44.0,29.98,4.3,South,6.7,-,,,Unknown,190.0,2014-05-01 03:00:00
2014-05-01 11:30:00,80.6,55.4,42.0,29.95,4.3,WSW,6.7,-,,,Unknown,250.0,2014-05-01 03:30:00
2014-05-01 12:00:00,80.6,51.8,37.0,29.95,-9999.0,WSW,6.7,-,,,Clear,250.0,2014-05-01 04:00:00
2014-05-01 12:30:00,82.4,53.6,37.0,29.95,-9999.0,SW,6.7,-,,,Clear,220.0,2014-05-01 04:30:00
2014-05-01 13:00:00,82.4,51.8,35.0,29.92,-9999.0,SW,6.7,-,,,Clear,230.0,2014-05-01 05:00:00
2014-05-01 13:30:00,84.2,50.0,30.0,29.92,-9999.0,WSW,6.7,-,,,Clear,240.0,2014-05-01 05:30:00
2014-05-01 14:00:00,84.2,50.0,30.0,29.92,-9999.0,SW,6.7,-,,,Clear,230.0,2014-05-01 06:00:00
2014-05-01 14:30:00,84.2,44.6,25.0,29.89,-9999.0,West,8.9,-,,,Clear,270.0,2014-05-01 06:30:00
2014-05-01 15:00:00,82.4,44.6,26.0,29.89,-9999.0,West,8.9,-,,,Clear,270.0,2014-05-01 07:00:00
2014-05-01 15:30:00,82.4,48.2,30.0,29.89,-9999.0,West,8.9,-,,,Clear,260.0,2014-05-01 07:30:00
2014-05-01 16:00:00,82.4,48.2,30.0,29.89,-9999.0,WSW,6.7,-,,,Clear,240.0,2014-05-01 08:00:00
2014-05-01 16:30:00,82.4,50.0,32.0,29.89,-9999.0,WSW,8.9,-,,,Clear,240.0,2014-05-01 08:30:00
2014-05-01 17:00:00,82.4,48.2,30.0,29.89,-9999.0,WSW,8.9,-,,,Clear,250.0,2014-05-01 09:00:00
2014-05-01 17:30:00,77.0,57.2,50.0,29.89,-9999.0,South,11.2,-,,,Clear,180.0,2014-05-01 09:30:00
2014-05-01 18:00:00,75.2,57.2,53.0,29.89,-9999.0,South,11.2,-,,,Clear,180.0,2014-05-01 10:00:00
2014-05-01 18:30:00,73.4,53.6,50.0,29.92,-9999.0,South,11.2,-,,,Clear,170.0,2014-05-01 10:30:00
2014-05-01 19:00:00,71.6,53.6,53.0,29.92,-9999.0,South,8.9,-,,,Clear,180.0,2014-05-01 11:00:00
2014-05-01 19:30:00,71.6,53.6,53.0,29.95,-9999.0,South,8.9,-,,,Clear,170.0,2014-05-01 11:30:00
2014-05-01 20:00:00,71.6,55.4,57.0,29.95,-9999.0,SSE,8.9,-,,,Clear,160.0,2014-05-01 12:00:00
2014-05-01 20:30:00,69.8,55.4,60.0,29.95,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-05-01 12:30:00
2014-05-01 21:00:00,69.8,55.4,60.0,29.95,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-05-01 13:00:00
2014-05-01 21:30:00,69.8,55.4,60.0,29.95,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-05-01 13:30:00
2014-05-01 22:00:00,68.0,55.4,64.0,29.98,-9999.0,SSE,6.7,-,,,Clear,150.0,2014-05-01 14:00:00
2014-05-01 22:30:00,,,,,,,,,,,,,
2014-05-01 23:00:00,68.0,55.4,64.0,29.98,-9999.0,South,6.7,-,,,Clear,170.0,2014-05-01 15:00:00
2014-05-01 23:30:00,68.0,57.2,68.0,29.98,-9999.0,South,6.7,-,,,Clear,180.0,2014-05-01 15:30:00
2014-05-02 00:00:00,66.2,57.2,73.0,29.98,-9999.0,South,4.5,-,,,Clear,190.0,2014-05-01 16:00:00
2014-05-02 00:30:00,66.2,55.4,68.0,29.98,-9999.0,South,6.7,-,,,Clear,180.0,2014-05-01 16:30:00
2014-05-02 01:00:00,64.4,57.2,77.0,29.95,-9999.0,South,6.7,-,,,Clear,180.0,2014-05-01 17:00:00
2014-05-02 01:30:00,64.4,57.2,77.0,29.95,-9999.0,South,6.7,-,,,Clear,190.0,2014-05-01 17:30:00
2014-05-02 02:00:00,62.6,55.4,77.0,29.95,-9999.0,South,6.7,-,,,Clear,180.0,2014-05-01 18:00:00
2014-05-02 02:30:00,62.6,55.4,77.0,29.95,-9999.0,South,4.5,-,,,Clear,180.0,2014-05-01 18:30:00
2014-05-02 03:00:00,62.6,55.4,77.0,29.95,-9999.0,South,4.5,-,,,Clear,180.0,2014-05-01 19:00:00
2014-05-02 03:30:00,62.6,55.4,77.0,29.95,-9999.0,South,6.7,-,,,Clear,180.0,2014-05-01 19:30:00
2014-05-02 04:00:00,62.6,55.4,77.0,29.95,-9999.0,South,4.5,-,,,Clear,170.0,2014-05-01 20:00:00
2014-05-02 04:30:00,62.6,53.6,72.0,29.95,-9999.0,South,6.7,-,,,Clear,170.0,2014-05-01 20:30:00
2014-05-02 05:00:00,62.6,53.6,72.0,29.95,-9999.0,South,4.5,-,,,Clear,170.0,2014-05-01 21:00:00
2014-05-02 05:30:00,62.6,53.6,72.0,29.95,-9999.0,South,6.7,-,,,Clear,170.0,2014-05-01 21:30:00
2014-05-02 06:00:00,62.6,55.4,77.0,29.98,-9999.0,South,4.5,-,,,Clear,170.0,2014-05-01 22:00:00
2014-05-02 06:30:00,66.2,59.0,78.0,29.98,4.3,SSW,2.2,-,,,Unknown,200.0,2014-05-01 22:30:00
2014-05-02 07:00:00,71.6,57.2,60.0,29.98,4.3,Variable,2.2,-,,,Unknown,0.0,2014-05-01 23:00:00
2014-05-02 07:30:00,71.6,57.2,60.0,29.98,4.3,WSW,6.7,-,,,Unknown,240.0,2014-05-01 23:30:00
2014-05-02 08:00:00,73.4,55.4,53.0,29.98,5.0,WSW,8.9,-,,,Unknown,250.0,2014-05-02 00:00:00
2014-05-02 08:30:00,77.0,53.6,44.0,30.01,5.0,WSW,8.9,-,,,Unknown,240.0,2014-05-02 00:30:00
2014-05-02 09:00:00,78.8,53.6,42.0,30.01,-9999.0,SW,11.2,-,,,Clear,230.0,2014-05-02 01:00:00
2014-05-02 09:30:00,80.6,51.8,37.0,30.01,-9999.0,WSW,11.2,-,,,Clear,240.0,2014-05-02 01:30:00
2014-05-02 10:00:00,82.4,51.8,35.0,30.01,-9999.0,WSW,11.2,-,,,Clear,250.0,2014-05-02 02:00:00
2014-05-02 10:30:00,84.2,51.8,33.0,30.01,-9999.0,West,11.2,-,,,Clear,270.0,2014-05-02 02:30:00
2014-05-02 11:00:00,84.2,48.2,29.0,30.01,-9999.0,West,13.4,-,,,Clear,270.0,2014-05-02 03:00:00
2014-05-02 11:30:00,84.2,51.8,33.0,30.01,-9999.0,West,11.2,-,,,Clear,270.0,2014-05-02 03:30:00
2014-05-02 12:00:00,86.0,51.8,31.0,29.98,-9999.0,WSW,8.9,-,,,Clear,250.0,2014-05-02 04:00:00
2014-05-02 12:30:00,86.0,53.6,33.0,29.98,-9999.0,West,11.2,-,,,Clear,260.0,2014-05-02 04:30:00
2014-05-02 13:00:00,86.0,50.0,29.0,29.98,-9999.0,West,13.4,-,,,Clear,270.0,2014-05-02 05:00:00
2014-05-02 13:30:00,87.8,44.6,22.0,29.98,-9999.0,West,11.2,-,,,Clear,260.0,2014-05-02 05:30:00
2014-05-02 14:00:00,86.0,50.0,29.0,29.98,-9999.0,West,13.4,-,,,Clear,270.0,2014-05-02 06:00:00
2014-05-02 14:30:00,86.0,51.8,31.0,29.98,-9999.0,West,15.7,-,,,Clear,260.0,2014-05-02 06:30:00
2014-05-02 15:00:00,86.0,51.8,31.0,29.95,-9999.0,West,13.4,-,,,Clear,280.0,2014-05-02 07:00:00
2014-05-02 15:30:00,84.2,51.8,33.0,29.95,-9999.0,WNW,13.4,-,,,Clear,290.0,2014-05-02 07:30:00
2014-05-02 16:00:00,84.2,55.4,37.0,29.95,-9999.0,WNW,13.4,-,,,Clear,290.0,2014-05-02 08:00:00
2014-05-02 16:30:00,82.4,57.2,42.0,29.98,-9999.0,WNW,13.4,-,,,Clear,290.0,2014-05-02 08:30:00
2014-05-02 17:00:00,82.4,55.4,39.0,29.98,-9999.0,NNW,17.9,-,,,Clear,340.0,2014-05-02 09:00:00
2014-05-02 17:30:00,78.8,55.4,44.0,30.01,-9999.0,North,17.9,-,,,Clear,350.0,2014-05-02 09:30:00
2014-05-02 18:00:00,77.0,55.4,47.0,30.04,-9999.0,North,17.9,-,,,Clear,10.0,2014-05-02 10:00:00
2014-05-02 18:30:00,73.4,53.6,50.0,30.04,-9999.0,NNE,17.9,-,,,Clear,30.0,2014-05-02 10:30:00
2014-05-02 19:00:00,71.6,51.8,50.0,30.06,-9999.0,NE,13.4,-,,,Clear,50.0,2014-05-02 11:00:00
2014-05-02 19:30:00,71.6,48.2,43.0,30.09,-9999.0,NE,15.7,-,,,Clear,50.0,2014-05-02 11:30:00
2014-05-02 20:00:00,69.8,48.2,46.0,30.09,-9999.0,NE,11.2,-,,,Clear,50.0,2014-05-02 12:00:00
2014-05-02 20:30:00,69.8,46.4,43.0,30.12,-9999.0,NE,11.2,-,,,Clear,40.0,2014-05-02 12:30:00
2014-05-02 21:00:00,68.0,46.4,46.0,30.15,-9999.0,ENE,13.4,-,,,Clear,60.0,2014-05-02 13:00:00
2014-05-02 21:30:00,68.0,48.2,49.0,30.15,-9999.0,NE,13.4,-,,,Clear,40.0,2014-05-02 13:30:00
2014-05-02 22:00:00,66.2,48.2,52.0,30.15,-9999.0,NE,13.4,-,,,Clear,50.0,2014-05-02 14:00:00
2014-05-02 22:30:00,66.2,48.2,52.0,30.18,-9999.0,NNE,11.2,-,,,Clear,30.0,2014-05-02 14:30:00
2014-05-02 23:00:00,66.2,44.6,46.0,30.18,-9999.0,NE,13.4,24.6,,,Clear,50.0,2014-05-02 15:00:00
2014-05-02 23:30:00,66.2,41.0,40.0,30.18,-9999.0,ENE,13.4,-,,,Clear,60.0,2014-05-02 15:30:00
2014-05-03 00:00:00,66.2,41.0,40.0,30.18,-9999.0,NE,11.2,-,,,Clear,50.0,2014-05-02 16:00:00
2014-05-03 00:30:00,66.2,42.8,43.0,30.18,-9999.0,ENE,8.9,-,,,Clear,60.0,2014-05-02 16:30:00
2014-05-03 01:00:00,66.2,42.8,43.0,30.18,-9999.0,ENE,4.5,-,,,Clear,70.0,2014-05-02 17:00:00
2014-05-03 01:30:00,66.2,41.0,40.0,30.18,-9999.0,ENE,6.7,-,,,Clear,60.0,2014-05-02 17:30:00
2014-05-03 02:00:00,66.2,39.2,37.0,30.15,-9999.0,ENE,11.2,-,,,Clear,60.0,2014-05-02 18:00:00
2014-05-03 02:30:00,64.4,39.2,40.0,30.15,-9999.0,NE,6.7,-,,,Clear,50.0,2014-05-02 18:30:00
2014-05-03 03:00:00,64.4,41.0,42.0,30.15,-9999.0,NE,4.5,-,,,Clear,50.0,2014-05-02 19:00:00
2014-05-03 03:30:00,64.4,41.0,42.0,30.15,-9999.0,North,8.9,-,,,Clear,10.0,2014-05-02 19:30:00
2014-05-03 04:00:00,64.4,42.8,45.0,30.15,-9999.0,NNE,8.9,-,,,Clear,30.0,2014-05-02 20:00:00
2014-05-03 04:30:00,64.4,42.8,45.0,30.15,-9999.0,NE,8.9,-,,,Clear,40.0,2014-05-02 20:30:00
2014-05-03 05:00:00,64.4,44.6,49.0,30.15,-9999.0,ENE,6.7,-,,,Clear,60.0,2014-05-02 21:00:00
2014-05-03 05:30:00,62.6,44.6,52.0,30.15,-9999.0,East,6.7,-,,,Clear,80.0,2014-05-02 21:30:00
